Super class,,0x00,0x00,True
Gas leak sensor,,0x00,0x01,True
Crime prevention sensor,,0x00,0x02,True
Emergency button,,0x00,0x03,True
First aid sensor,,0x00,0x04,True
Earthquake sensor,,0x00,0x05,True
Electric leak sensor,,0x00,0x06,True
Human detection sensor,,0x00,0x07,True
Visitor sensor,,0x00,0x08,True
Call sensor,,0x00,0x09,True
Condensation sensor,,0x00,0x0A,True
Air pollution sensor,,0x00,0x0B,True
Oxygen sensor,,0x00,0x0C,True
Illuminance sensor,,0x00,0x0D,True
Sound sensor,,0x00,0x0E,True
Mailing sensor,,0x00,0x0F,True
Weight sensor,,0x00,0x10,True
Temperature sensor,,0x00,0x11,True
Humidity sensor,,0x00,0x12,True
Rain sensor,,0x00,0x13,True
Water level sensor,,0x00,0x14,True
Bath water level sensor,,0x00,0x15,True
Bath heating status sensor,,0x00,0x16,True
Water leak sensor,,0x00,0x17,True
Water overflow sensor,,0x00,0x18,True
Fire sensor,,0x00,0x19,True
Cigarette smoke sensor,,0x00,0x1A,True
CO2 sensor,,0x00,0x1B,True
Gas sensor,,0x00,0x1C,True
VOC sensor,,0x00,0x1D,True
Differential pressure sensor,,0x00,0x1E,True
Air speed sensor,,0x00,0x1F,True
Odor sensor,,0x00,0x20,True
Flame sensor,,0x00,0x21,True
Electric energy sensor,,0x00,0x22,True
Current value sensor,,0x00,0x23,True
Daylight sensor,,0x00,0x24,
Water flow rate sensor,,0x00,0x25,True
Micromotion sensor,,0x00,0x26,True
Passage sensor,,0x00,0x27,True
Bed presence sensor,,0x00,0x28,True
Open close sensor,,0x00,0x29,True
Activity amount sensor,,0x00,0x2A,True
Human body location sensor,,0x00,0x2B,True
Snow sensor,,0x00,0x2C,True
Home air conditioner,,0x01,0x30,True
Cold blaster,,0x01,0x31,
Electric fan,,0x01,0x32,
Ventilation fan,,0x01,0x33,True
Air conditioner ventilation fan,,0x01,0x34,True
Air cleaner,,0x01,0x35,True
Cold blast fan,,0x01,0x36,
Circulator,,0x01,0x37,
Dehumidifier,,0x01,0x38,
Humidifier,,0x01,0x39,True
Ceiling fan,,0x01,0x3A,
Electric Kotatsu,,0x01,0x3B,
Electric heating pad,,0x01,0x3C,
Electric blanket,,0x01,0x3D,
Space heater,,0x01,0x3E,
Panel heater,,0x01,0x3F,
Electric carpet,,0x01,0x40,
Electric heater,,0x01,0x42,True
Fan heater,,0x01,0x43,True
Package type commercial air conditioner indoor unit,,0x01,0x45,True
Package type commercial air conditioner outdoor unit,,0x01,0x46,True
Commercial fan coil unit,,0x01,0x48,
Commercial air conditioning cold source (chiller),,0x01,0x49,
Commercial air conditioning hot source (boiler),,0x01,0x50,
Air-conditioning VAV for commercial applications,,0x01,0x51,
Air handling unit (air-conditioning) for commercial applications,,0x01,0x52,
Unit-cooler,,0x01,0x53,
Condensing unit for commercial applications,,0x01,0x54,
Electrically operated shade,,0x02,0x60,True
Electrically operated shutter,,0x02,0x61,True
Electrically operated curtain,,0x02,0x62,
Electrically operated storm window,,0x02,0x63,True
Electrically operated door,,0x02,0x64,
Electrically operated skylight,,0x02,0x65,
Awning,,0x02,0x66,
Garden sprinkler,,0x02,0x67,True
Fire sprinkler,,0x02,0x68,
Fountain,,0x02,0x69,
Instantaneous water heater,,0x02,0x6A,
Electric water heater,,0x02,0x6B,True
Solar water heater,,0x02,0x6C,
Circulation pump,,0x02,0x6D,
Electric key,,0x02,0x6F,True
Gas line valve,,0x02,0x70,
Home sauna,,0x02,0x71,
Hot water generator,,0x02,0x72,True
Bathroom dryer,,0x02,0x73,True
Home elevator,,0x02,0x74,
Electrically operated room divider,,0x02,0x75,
Horizontal transfer,,0x02,0x76,
Electrically operated clothes-drying pole,,0x02,0x77,
Septic tank,,0x02,0x78,
Home solar power generation,,0x02,0x79,True
Cold or hot water heat source equipment,,0x02,0x7A,True
Floor heater,,0x02,0x7B,True
Fuel cell,,0x02,0x7C,True
Storage battery,,0x02,0x7D,True
Electric vehicle,,0x02,0x7E,True
Engine cogeneration,,0x02,0x7F,True
Electric energy meter,,0x02,0x80,True
Water flow meter,,0x02,0x81,True
Gas meter,,0x02,0x82,True
LP gas meter,,0x02,0x83,True
Clock,,0x02,0x84,
Automatic door,,0x02,0x85,
Commercial elevator,,0x02,0x86,
Distribution panel metering,,0x02,0x87,True
Smart electric energy meter,,0x02,0x88,True
Smart gas meter,,0x02,0x89,True
General lighting,,0x02,0x90,True
Emergency lighting,"Including exit light, emergency light, security light, anticrime light, etc.",0x02,0x99,
Equipment light,,0x02,0x9D,
Buzzer,,0x02,0xA0,True
Coffee machine,,0x03,0xB0,
Coffee mill,,0x03,0xB1,
Electric hot water pot,,0x03,0xB2,True
Electric stove,,0x03,0xB3,
Toaster,,0x03,0xB4,
"Juicer, food mixer",,0x03,0xB5,
Food processor,,0x03,0xB6,
Refrigerator,,0x03,0xB7,True
Combination microwave oven,,0x03,0xB8,True
Cooking heater,,0x03,0xB9,True
Oven,,0x03,0xBA,
Rice cooker,,0x03,0xBB,True
Electronic jar,,0x03,0xBC,
Dish washer,,0x03,0xBD,
Dish dryer,,0x03,0xBE,
Electric rice card cooker,,0x03,0xBF,
Keep-warm machine,,0x03,0xC0,
Rice mill,,0x03,0xC1,
Automatic bread cooker,,0x03,0xC2,
Slow cooker,,0x03,0xC3,
Electric pickles cooker,,0x03,0xC4,
Washing machine,,0x03,0xC5,True
Clothes dryer,,0x03,0xC6,True
Electric iron,,0x03,0xC7,
Trouser press,,0x03,0xC8,
Futon dryer,,0x03,0xC9,
"Small article, shoes dryer",,0x03,0xCA,
Electric vacuum cleaner (including central vacuum cleaner),,0x03,0xCB,
Disposer,,0x03,0xCC,
Electric mosquito catcher,,0x03,0xCD,
Commercial show case,,0x03,0xCE,
Commercial refrigerator,,0x03,0xCF,
Commercial hot case,,0x03,0xD0,
Commercial fryer,,0x03,0xD1,
Commercial microwave oven,,0x03,0xD2,
Washer and dryer,,0x03,0xD3,True
Weighing machine,,0x04,0x01,True
Clinical thermometer,,0x04,0x02,
Blood pressure meter,,0x04,0x03,
Blood sugar meter,,0x04,0x04,
Body fat meter,,0x04,0x05,
Secure communication shared key setup node,,0x05,0xFC,
Switch,,0x05,0xFD,True
Portable (mobile) terminal.,,0x05,0xFE,
Controller,,0x05,0xFF,
Display,,0x06,0x01,True
Television,,0x06,0x02,True